"delgrecoj","True","True","False","True"
"millinj2","False","True","False","True"
"TravisThomasAC","False","True","True","True"
"geerc","False","True","False","False"
"Nikki-Luoma","True","True","False","False"
"sutterj","True","False","False","False"
"cerdamejiaj","True","True","False","True"
"bonnettd","False","True","False","True"
"eltmanm","False","True","True","True"
"cookc3174","False","True","False","False"
"wojnarn","True","True","False","False"
"toccinAC","True","False","False","False"
"sporrera","True","True","False","True"
"Andre-Bryan","False","True","False","True"
"bristola","False","True","True","True"
"karolvargas","False","True","False","False"
"dillam","True","True","False","False"
"colezAC","True","False","False","False"
"burrowss","True","True","False","True"
"milleriAC","False","True","False","True"
"shafferz","False","True","True","True"
"mendezjw","False","True","False","False"
"ZachAndrews98","True","True","False","False"
"JattMones","True","False","False","False"
"castellanosr","True","True","False","True"
"lylet-AC","False","True","False","True"
"yeeunmariakim","False","True","True","True"
"gkapfham","False","True","True","True"
